n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
27144164,-6.315061897,53.40562391,substation,220000,50,Finglas,EirGrid,
219010656,-8.572550219,53.90984586,substation,110000,50,Tonroe 110kV Substation,EirGrid,
266999191,-7.371676027,53.53837644,substation,110000,50,Mullingar 110kV Substation,EirGrid,
152447080,-7.106075283,54.00132243,substation,110000,,Greaghnacross,EirGrid,
243018345,-8.187214139,51.93765955,substation,110000,,Midleton 110kV Substation,EirGrid,
374906132,-8.239058579,51.81860688,substation,110000,50,Whitegate 110kV Substation,EirGrid,
104388595,-8.319800025,51.95406614,substation,220000,50,Knockraha 220kV Substation,EirGrid,
150770869,-7.764220551,52.69202726,substation,110000,50,Thurles 110kV Substation,EirGrid,
374590824,-7.667634698,52.38358571,substation,110000,,Clonmel 110kV Substation,EirGrid,
236651495,-8.254681117,52.09587108,substation,110000,50,Barrymore 110kV Substation,EirGrid,
589030589,-9.335616994,53.35362671,substation,110000,50,Galway Wind Park - Electricity Substation,SSE,
462026008,-9.37009338,53.36042472,plant,0,,Galway Wind Park,SSE Renewables-Coillte,
444668570,-6.010391681,54.76164932,substation,110000,,Ballyclare 110kV Substation,NIE Networks,
665911411,-9.353717111,53.33747952,substation,110000,,Cloosh 110kv,SSE,
231161975,-6.307906887,54.45040838,substation,110000,,Lurgan 110kV Substation,NIE Networks,
227767019,-6.42529379,54.36994295,substation,275000,50,Tandragee,NIE Networks,
235602041,-8.892196623,51.89579018,substation,110000,,Macroom 110kV Substation,EirGrid,
186889669,-8.914120806,51.93819308,substation,220000,50,Clashavoon 220kV Substation,EirGrid,
235929741,-9.089747163,51.72322328,substation,110000,50,Dunmanway 110kV Station,EirGrid,
373209905,-8.6610675,51.90179125,substation,110000,50,Inniscarra 110kV Substation,EirGrid,
179838650,-8.863309797,51.89783968,substation,110000,50,Carrigadrohid 110kV Substation,EirGrid,
235590778,-7.170372892,52.22860948,substation,110000,50,Butterstown 110kV Substation,EirGrid,
235590779,-7.158994348,52.25184983,substation,110000,50,Killoteran 110kV Substation,EirGrid,
150124101,-7.279885905,52.24926566,substation,220000,50,Cullenagh 220 kV Substation,EirGrid,
266499715,-6.829330422,53.38808895,substation,110000,50,Dunfierth 110kV Substation,EirGrid,
374960358,-6.415074653,53.41425396,substation,110000,50,Macetown 110kV Substation,EirGrid,
374960995,-6.386047672,53.41172326,substation,110000,,Tyrrelstown,EirGrid,
33879852,-6.5211743,53.35530026,substation,110000,50,Rinawade,EirGrid,
235560256,-6.522223563,53.37782018,substation,110000,,Ryebrook,EirGrid,
167102153,-7.142741066,53.43023375,substation,110000,50,Kinnegad 110kV,EirGrid,
113626759,-6.319859596,54.17907373,substation,110000,50,Newry 110kV Substation,NIE Networks,
210298504,-8.688145558,52.63692141,substation,110000,50,Moneteen 110kV Substation,EirGrid,
373218637,-8.691620419,52.6411652,substation,110000,50,Mungret,EirGrid,
211196263,-9.05142571,52.62524736,substation,110000,50,Aughinish 110kV Substation,EirGrid,
96765746,-8.641698225,52.63487222,substation,110000,50,Limerick 110kV Substation,EirGrid,
180637986,-8.545608039,52.64008026,substation,220000,50,Killonan 220kV Substation,EirGrid,
193416842,-8.263446417,54.71894236,substation,110000,50,Binbane  110kV Substation,EirGrid,
186166560,-8.73316527,51.77393136,substation,110000,50,Bandon 110kV Substation,EirGrid,
334109747,-6.992777688,52.280774,plant,0,,Great Island Power Station,,
200167853,-9.26919785,53.86660413,substation,110000,50,Castlebar Substation,EirGrid,
437325462,-8.459743291,51.88264507,substation,110000,,110kV Substation,EirGrid,
444664540,-8.370365677,51.82810306,substation,110000,50,,EirGrid,
79803767,-8.369570028,51.82680749,substation,220000,50,Raffeen 220 kV Substation,EirGrid,
343434904,-8.040490029,53.27287315,substation,110000,,Shannonbridge 110kV Substation,,
182914658,-8.039342673,53.27260485,plant,0,,West Offaly Power Station,ESB Generation and Wholesale Markets,
158575778,-7.77136074,52.91857026,substation,110000,50,Ikerrin 110kV Substation,EirGrid,
286261189,-7.338708034,54.93476994,substation,110000,,Killymallaght 110kV Substation,NIE Networks,
208150180,-8.507629471,52.66173337,substation,110000,50,Ahane 110kV Substation,EirGrid,
374352169,-8.181257405,52.86107143,substation,110000,50,Nenagh 110kV Substation,EirGrid,
143927977,-6.999340436,52.99343423,substation,110000,50,Athy 110kV Substation,EirGrid,
170568529,-6.844565688,52.8325129,substation,110000,,Carlow 110kV Substation,EirGrid,
198834347,-7.744595967,54.15273843,substation,110000,,Corraclassy 110kV Substation,EirGrid,
199125367,-7.581108956,54.12925889,substation,110000,,Gortawee 110kV Station,EirGrid,
194791260,-7.641168906,54.3639259,substation,110000,,,NIE Networks,
200626863,-8.616384261,52.70494709,substation,110000,50,Ardnacrusha 110kV Substation,EirGrid,
374583113,-8.634861353,52.63540443,substation,110000,50,,EirGrid,
207628559,-8.861346093,52.72398505,substation,110000,50,Drumline 110kV Substation,EirGrid,
52291514,-8.935868597,52.8601965,substation,110000,50,Ennis 110kV Substation,EirGrid,
220264906,-8.587379097,52.66348687,substation,110000,50,Singland 110kV Substation,EirGrid,
374709194,-7.681891806,52.75122487,substation,110000,50,Lisheen 110kV Substation,EirGrid,
195423192,-8.108879043,53.93738545,substation,110000,50,Carrick-on-Shannon 110kV Substation,EirGrid,
31330615,-8.476775809,51.92237736,substation,110000,50,Kilbarry 110kV Substation,EirGrid,
179214114,-9.306780729,51.92546699,substation,110000,,Glanlee,EirGrid,
179214119,-9.311432725,51.93854858,substation,110000,,Coomagearlahy Substation,EirGrid,
219769028,-7.213858783,53.35814778,substation,110000,50,Rhode 110kV Substation,EirGrid,
152415113,-7.494383862,53.90860885,substation,220000,50,Arva 220kV Substation,EirGrid,
89760546,-6.816305256,52.78871224,substation,220000,50,Kellis 220kV Substation,EirGrid,
150242815,-7.17199018,52.64055082,substation,110000,,Kilkenny 110kV Substation,EirGrid,
266244304,-6.423765597,54.00533728,substation,110000,,Dundalk 110kV Substation,EirGrid,
265773388,-6.408693392,53.97554709,substation,110000,,Mullagharlin,EirGrid,
507859235,-7.252027816,53.26233172,substation,110000,50,Esker 110kV Substation,EirGrid,
444664904,-8.368235447,51.82589335,substation,110000,50,,EirGrid,
241661149,-7.88431547,54.88102905,substation,110000,,Cark 110kV Substation,EirGrid,
374873312,-7.304872586,54.9806594,substation,110000,50,Lisaghmore 110kV Substation,NIE Networks,
453425562,-7.324887751,54.99088064,substation,110000,,Fountain 110kV Substation,NIE Networks,
374617269,-8.323844924,51.87872374,substation,110000,,Marino Point 110kV Substation,EirGrid,
191715059,-8.301222002,51.86509884,substation,110000,,Cow Cross 110kV Substation,,
335771580,-6.245984445,54.34400495,substation,110000,,Banbridge 110kV Substation,NIE Networks,
166809454,-6.090396406,54.52119482,substation,110000,50,Lisburn 110kV Substation,NIE Networks,
185902319,-8.383977664,54.17775969,substation,220000,50,Srananagh 220-110kV Substation,EirGrid,
189376942,-8.19766514,54.19887438,substation,110000,50,Corderry 110kV Substation,EirGrid,
154686756,-8.370444167,51.90091686,substation,110000,,Castleview 110kV Substation,EirGrid,
235924790,-9.426296489,52.424784,substation,110000,50,Trien 110kV Substation,EirGrid,
183749097,-6.364934951,53.4193707,substation,220000,50,Corduff 220kV Substation,EirGrid,
